"Year","Location","Species","median_cm","L90_cm","max_cm","Ntot"
2023,"Råneå","Perch",17,27,44,975
2023,"Råneå","Roach",17,22,31,331
2023,"Råneå","Vendace",12,15,17,101
2023,"Seskaröfjärden","Bleak",15,16,19,70
2023,"Seskaröfjärden","Perch",19,28,40,1116
2023,"Seskaröfjärden","Roach",20,25,33,438
2023,"Seskaröfjärden","Ruffe",12,13,14,114
2023,"Seskaröfjärden","Smelt",18,21.8,23,53
2023,"Seskaröfjärden","Vendace",16,17,20,173
2023,"Simpevarpsområdet","Bleak",13,14,16,100
2023,"Simpevarpsområdet","Herring",16,19,26,454
2023,"Simpevarpsområdet","Perch",21,28,41,236
2023,"Simpevarpsområdet","Roach",17,20,30,636
2023,"Simpevarpsområdet","Ruffe",14,16,19,142
2023,"Simpevarpsområdet","Silver bream",18,21,24,96
2023,"Storjungfrun","Herring",16,18,37,654
2023,"Syd Träskhällan","Bleak",13,14,15,61
2023,"Syd Träskhällan","Herring",16,21.1,29,450
2023,"Syd Träskhällan","Perch",15,22,28,182
2023,"Syd Träskhällan","Roach",15,18,28,396
2023,"Syd Träskhällan","Round goby",13,16,18,80
2023,"Vaxholm","Herring",16,18,21,271
2023,"Vaxholm","Perch",15,26,44,530
2023,"Vaxholm","Roach",16,20,29,863
2023,"Vaxholm","Ruffe",13,16,18,100
2023,"Vaxholm","Smelt",13,15.7,19,54
2023,"Åhus SO","Cod",30,36,47,74
2023,"Åhus SO","Herring",20,26.5,30,176
2023,"Åhus SO","Shorthorn sculpin",22,26,30,161
2023,"Ö Gotlands m kustvatten","Cod",29,35,39,111
2023,"Ö Gotlands m kustvatten","European flounder",22,27,36,254
2023,"Ö Gotlands m kustvatten","Herring",17,19.5,26,636
